# P;Time by slot;Time by node;Speedup by slot;Speedup by node
1;29.61601267;29.61353033;1;1
2;15.27708633;14.854367;1.938590384;1.993590863
3;10.28752433;10.311293;2.878827958;2.871951203
4;8.582047667;8.781987667;3.450926145;3.372076056
5;7.450123333;7.154907667;3.975237904;4.138911599
6;6.380167667;6.508829;4.641886266;4.549747786
7;5.867962;5.977514;5.047069607;4.95415491
8;5.979616667;5.557638667;4.952827968;5.328437509
9;5.425021;5.179096333;5.45915171;5.717895252
10;5.054267333;5.080911;5.8596055;5.828389896
11;5.065640333;4.983374667;5.846449949;5.942465159
12;5.039801333;4.975296667;5.876424626;5.952113475
13;5.170422;5.085656667;5.727968175;5.82295115
14;5.139202333;5.130586333;5.762764481;5.771958293
15;5.225753667;5.366554667;5.667318928;5.518164292
16;5.401419667;5.197872667;5.483005301;5.697240435
