# P;N (MB);Time by slot;Efficiency by slot;Time by node;Efficiency by node
1;17.7;0.878536333;1;0.868425833;1
2;35.4;0.9346635;0.939949333;1.044621;0.831331012
3;53.1;0.9947725;0.883153016;1.0538155;0.824077681
4;70.8;1.132608;0.77567555;1.244067167;0.698053816
5;88.5;1.315362;0.667904602;1.418145333;0.612367303
6;106.2;1.3810075;0.636156091;1.401153667;0.619793427
7;123.9;1.314849333;0.668165022;1.4007805;0.61995854
8;141.6;1.423016167;0.617376214;1.511146333;0.574680171
9;159.3;1.558792167;0.563600685;1.616153333;0.537341238
10;177;1.701487333;0.516334337;1.900307333;0.456992308
11;194.7;1.7806835;0.493370289;1.9098525;0.454708326
12;212.4;1.934463;0.45414998;2.108318833;0.411904414
13;230.1;2.0481795;0.428935224;2.3803395;0.364832762
14;247.8;2.550396833;0.344470445;2.206849;0.393513935
15;265.5;2.219110333;0.395895743;2.384599833;0.36418095
16;283.2;2.592635167;0.33885845;2.7353665;0.317480613
17;300.9;3.026580667;0.290273556;2.989951167;0.290448166
18;318.6;2.9279315;0.300053582;3.255938333;0.266720602
19;336.3;3.1851485;0.275822723;3.167282667;0.2741864
20;354;3.061906333;0.286924627;3.033225167;0.28630444
21;371.7;2.987142667;0.294105917;3.136988333;0.276834257
22;389.4;3.3305735;0.263779296;3.325357833;0.261152597
23;407.1;3.204145667;0.274187389;3.236666167;0.268308744
24;424.8;3.743447167;0.234686452;3.5136855;0.247155254
25;442.5;3.814960333;0.230287148;3.7848335;0.229448887
26;460.2;4.107220667;0.213900446;4.369662167;0.198739811
27;477.9;5.055087;0.173792525;4.893272;0.177473444
28;495.6;4.8894165;0.179681222;4.837406333;0.179523028
29;513.3;4.7175925;0.186225566;4.869685667;0.178333037
30;531;5.811692;0.15116705;5.899733167;0.147197476
31;548.7;6.0209245;0.14591386;6.326248667;0.137273427
32;566.4;4.928893;0.178242119;4.973811833;0.174599656
